commit	authored_at	subject
1440aa6b0f421fe1a78c23533a676d82dc908c81	2026-07-02T23:59:59-05:00	Import flaskr tutorial app from pallets/flask examples/tutorial
ac71c57185dfa8c92ff4bf94d8fa2c4bf42602ee	2026-07-03T00:29:18-05:00	docs(aidd): re-run codebase-analysis (2026-07-03)
b94a8a1f71a7004f07f3ea06c29e149f61fbbcfd	2026-07-03T00:29:48-05:00	docs(aidd): add codebase-analysis report for flaskr
27f827571378139ed9cd1695ceedd1ab3e2ffe48	2026-07-03T00:38:26-05:00	docs(aidd): add interview response-review for flaskr
8af760df7a08f8d2f0228e2050fb29199267e685	2026-07-03T00:43:15-05:00	docs(aidd): triage response1 into 2 security remediation features
f6514daed09ca066cf26b3207dcc09dce5df3180	2026-07-03T00:45:52-05:00	docs(aidd): review of 2 security remediation features
2a5f92061696efc03160e05349562b3deb4a28a1	2026-07-03T00:48:23-05:00	docs(aidd): feature-review auto-fix of 2 security remediation features
7cc1e16db6cf47bf8bba1d781c0bdf34f27551f0	2026-07-03T00:50:39-05:00	docs(aidd): consolidate intake assertions into assertions.md
9debb4b7c96fe9bf464875f55d511f371708a80c	2026-07-03T00:51:57-05:00	chore(features): consolidate feature metadata (no-op — no foldable findings)
8d6a2b09360fb321bb5502c25ea1ac910a8c37fd	2026-07-03T00:53:21-05:00	docs(aidd): add inferred project-profile.json assurance profile
3e218300d051ce12d85d6a75cdcd64ee7104dac6	2026-07-03T00:57:16-05:00	docs(aidd): backfill feature-JSON coverage for implemented flaskr capabilities
fadcc48f098b41b9e9308758e10b31d805822c9b	2026-07-03T01:00:20-05:00	docs(aidd): feature-review of 2 backlog remediation features (no fixes needed)
095f45837607dc145c193910e33c90965a8458b5	2026-07-03T01:02:44-05:00	docs(aidd): feature-review re-run of 2 backlog remediations (no fixes needed)
4924c6a537c3b7093adfd85bf57001c38fd35674	2026-07-03T01:04:49-05:00	docs(aidd): seed 10 spernakit-tester scenarios for flaskr
185428dcaff38ae99320a58fa1b718ddd172f790	2026-07-03T01:20:18-05:00	chore(aidd): record intake runtime metadata
5ae8d2e731f337a0a01185f864fe51e89c49c4a9	2026-07-03T01:23:46-05:00	docs(aidd): hold secret-key remediation at waiting_approval pending Q2
1e4c7efbff45162e9f410731f432223a1439121a	2026-07-03T01:26:41-05:00	docs(aidd): hold CSRF remediation at waiting_approval pending Q2
139ca42581a1404f117d0a3d6c49082b6e8414d4	2026-07-03T08:45:34-05:00	chore(aidd): complete onboarding — spec, project-structure, features (23), todo, README features section
7aadb4cc5d6e3f69b2c0ed79851e181a38dc2216	2026-07-03T08:46:27-05:00	chore(aidd): commit prior-session artifacts (audit features, security report, iteration logs, runtime metadata)
d75e11b4274e084192187d173e225660ff4d3e2d	2026-07-03T08:48:03-05:00	chore: add .gitattributes to normalize line endings (LF)
8976ca0ee6b940059162ea506f23cce47c79e284	2026-07-03T08:57:52-05:00	fix(security): enforce a non-default SECRET_KEY (S1 remediation)
532989e183925a0423395fe7ca7b7748f998fdfb	2026-07-03T09:03:57-05:00	feat(security): add CSRF protection to all state-changing forms (S2 remediation)
c335cf6b5d410a581a832e6f291d44e8d630ab6a	2026-07-03T09:06:43-05:00	feat(security): add rate limiting to login and register (S4 remediation)
a669b240252b94f46f2386016d53d499994a732e	2026-07-03T09:08:41-05:00	perf(db): add indexes on post.created and post.author_id
6be292e6e0ad781f3cf8ce4b6d078923f34ebbcc	2026-07-03T09:11:08-05:00	build(deps): add pinned dependency lockfiles for reproducible installs
91fd3cf1766c722fa7cf38cc866878b91c768c33	2026-07-03T09:15:12-05:00	test(ci): wire ruff lint and coverage gates into the workflow
2a38c5783a6ce583900f0d5b10a2a3a2bfebe6b3	2026-07-03T09:17:12-05:00	perf(blog): add pagination to the post index
89c3ede8ffa0081a348a59d4219ab70bada2a4b1	2026-07-03T09:18:42-05:00	docs(aidd): park password-reset-flow pending Q6 decision
ba3274aa928ceb6bc71538577d4ad96bc34a8459	2026-07-03T09:22:15-05:00	docs(aidd): record promote-remediation no-op (both remediations already shipped)
0b4508d4fa4ef767388b9a130f7d38a2c8ad4101	2026-07-03T09:30:19-05:00	fix(security): remove /hello debug route from application factory
aa8ac41b09050e5636c9e063ed486b569aa4c7aa	2026-07-03T09:32:15-05:00	fix(security): remove post id from the 404 error body in get_post
ceaf42e853c86b3e6b1c5331c4ecae5b499eba5e	2026-07-03T09:34:01-05:00	fix(security): harden the flask session cookie (httponly/samesite/secure)
4552ec939e03aefeca439c0193d631106f507dd4	2026-07-03T09:36:19-05:00	fix(security): add HTTP security response headers (csp/x-frame-options/nosniff/referrer)
